2019/07/14 21:47:11 Step 0 ... 讀取config.property
2019/07/14 21:47:11 完成，共計讀取到 1 筆資料
=======================================
2019/07/14 21:47:11 Step 1 ... 根據設定檔逐一爬取資料
----------------------------------
2019/07/14 21:47:11 Step 1.0.1 ... 哈寵誌，跳轉到網址進行爬取
2019/07/14 21:47:14 Step 1.0.2 ... 哈寵誌，針對瀑布流網站進行頁面跳轉
2019/07/14 21:47:20 Step 1.0.3 ... 哈寵誌，訂閱者數量抓取
2019/07/14 21:47:20 Step 1.0.4 ... 哈寵誌，頁面元素解析	，完成，共計讀取到 137 筆資料
2019/07/14 21:47:29 Step 1.0.4.0 .. 【哈寵PETube】第80集 寵物旅遊東部篇 封面人物Vlog，第0次嘗試內容解析	成功。
2019/07/14 21:47:31 Step 1.0.4.1 .. 【哈寵PETube】第79集 來去東部住一晚，第0次嘗試內容解析	成功。
2019/07/14 21:47:33 Step 1.0.4.2 .. 【哈寵PETube】第78集 YEASTER發柴趣花絮，第0次嘗試內容解析	成功。
2019/07/14 21:47:36 Step 1.0.4.3 .. 【哈寵PETube】第77集 編輯好物大推薦：外出篇(下)，第0次嘗試內容解析	成功。
2019/07/14 21:47:38 Step 1.0.4.4 .. 【哈寵PETube】第76集 HOTPETS關鍵時刻：蟲蟲面對面，第0次嘗試內容解析	成功。
2019/07/14 21:47:40 Step 1.0.4.5 .. 【哈寵PETube】第75集 毛孩飼養省錢術，第0次嘗試內容解析	成功。
2019/07/14 21:47:43 Step 1.0.4.6 .. 【哈寵PETube】第74集 HOTPETS關鍵時刻：飼主Q&A，第0次嘗試內容解析	成功。
2019/07/14 21:47:45 Step 1.0.4.7 .. 【哈寵PETube】第73集 毛廚房：端午粽子好簡單，第0次嘗試內容解析	成功。
2019/07/14 21:47:48 Step 1.0.4.8 .. 【哈寵PETube】第72集 哈寵英文小教室，第0次嘗試內容解析	成功。
2019/07/14 21:47:50 Step 1.0.4.9 .. 【哈寵PETube】第71集 狗狗挑食心好累，第0次嘗試內容解析	成功。
2019/07/14 21:47:52 Step 1.0.4.10 .. 【哈寵PETube】第70集 毛爸媽常有的健忘症，第0次嘗試內容解析	成功。
2019/07/14 21:47:55 Step 1.0.4.11 .. 【哈寵PETube】第69集 哈寵投票趴，好禮帶回家，第0次嘗試內容解析	成功。
