頻道名,訂閱數,影片名,發布日期,喜歡,不喜歡,影片網址,影片流量
哈寵誌,2038,【哈寵PETube】第80集 寵物旅遊東部篇 封面人物Vlog,2019/7/8,0,0,https://www.youtube.com/watch?v=H03QGI2P1uY,41
哈寵誌,2038,【哈寵PETube】第79集 來去東部住一晚,2019/7/1,1,0,https://www.youtube.com/watch?v=cKX8sW6pmTQ,45
哈寵誌,2038,【哈寵PETube】第78集 YEASTER發柴趣花絮,2019/6/27,0,0,https://www.youtube.com/watch?v=e1lVSaEYm-c,47
哈寵誌,2038,【哈寵PETube】第77集 編輯好物大推薦：外出篇(下),2019/6/19,1,0,https://www.youtube.com/watch?v=3JPRA6uw6xo,61
哈寵誌,2038,【哈寵PETube】第76集 HOTPETS關鍵時刻：蟲蟲面對面,2019/6/10,0,0,https://www.youtube.com/watch?v=UIsrHQG2qCk,41
哈寵誌,2038,【哈寵PETube】第75集 毛孩飼養省錢術,2019/6/5,1,0,https://www.youtube.com/watch?v=3EolHXOnruI,78
哈寵誌,2038,【哈寵PETube】第74集 HOTPETS關鍵時刻：飼主Q&A,2019/6/3,0,0,https://www.youtube.com/watch?v=Mvo2mBANq7Y,43
哈寵誌,2038,【哈寵PETube】第73集 毛廚房：端午粽子好簡單,2019/5/27,3,0,https://www.youtube.com/watch?v=uNeWOcxITKM,109
哈寵誌,2038,【哈寵PETube】第72集 哈寵英文小教室,2019/5/20,0,0,https://www.youtube.com/watch?v=r8JzYkB2UVE,50
哈寵誌,2038,【哈寵PETube】第71集 狗狗挑食心好累,2019/5/14,1,0,https://www.youtube.com/watch?v=uahig6nsD0o,94
哈寵誌,2038,【哈寵PETube】第70集 毛爸媽常有的健忘症,2019/5/6,1,0,https://www.youtube.com/watch?v=ZUK3Jo4KXWw,74
哈寵誌,2038,【哈寵PETube】第69集 哈寵投票趴，好禮帶回家,2019/4/30,0,0,https://www.youtube.com/watch?v=ri86VxIcc2s,23
哈寵誌,2038,【哈寵PETube】第68集 奴才動手做：超實用貓砂盆DIY,2019/4/23,1,1,https://www.youtube.com/watch?v=EYzswsg6x8s,220
哈寵誌,2038,【哈寵PETube】第67集 療癒系之副社長剪指甲,2019/4/16,0,0,https://www.youtube.com/watch?v=6RH2P0X0tCc,56
哈寵誌,2038,【哈寵PETube】第66集 狗狗飲食迷思解惑,2019/4/8,1,0,https://www.youtube.com/watch?v=wn9ajq9DVWc,109
哈寵誌,2038,【哈寵PETube】第65集 愚人節特別企劃,2019/4/3,0,0,https://www.youtube.com/watch?v=jBsC6Xgb7m4,39
哈寵誌,2038,【哈寵PETube】第64集 編輯好物大推薦：外出篇(上),2019/3/26,1,0,https://www.youtube.com/watch?v=Qm64xPMIFeI,123
哈寵誌,2038,【哈寵PETube】第63集 一日檢疫犬忙甚麼？(日常篇),2019/3/19,2,2,https://www.youtube.com/watch?v=akyQ8kX4kn8,230
哈寵誌,2038,【哈寵PETube】第62集 一日檢疫犬忙甚麼？(訓練篇),2019/3/11,1,0,https://www.youtube.com/watch?v=MWnh8HidV6c,167
哈寵誌,2038,【哈寵PETube】第61集 抓抓抓，不想一直撓癢癢,2019/3/5,0,0,https://www.youtube.com/watch?v=agezLamSMRE,44
哈寵誌,2038,【哈寵PETube】第60集 貓咪肢體語言這樣看,2019/2/25,2,0,https://www.youtube.com/watch?v=ePWui3AkIhY,51
